"","url","inning_side","inning","next_","num","gameday_link","row_names","des","des_es","id","type","tfs","tfs_zulu","x","y","sv_id","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","on_1b","on_2b","on_3b","count","pitcher","batter","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","atbat_des_es","event","score","home_team_runs","away_team_runs","event2","event3","batter_name","pitcher_name","event4","date"
"400","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",10,"Y",80,"gid_2011_06_16_texmlb_nyamlb_1","2568497","Foul",NA,620,"S","161227","2011-06-16T20:12:27Z",113.3,157.15,"110616_161229",92.6,85,3.47,1.51,-4.25,8.8,-0.378,2.113,-2.227,50,5.946,6.407,-135.429,-7.267,-7.851,30.766,-15.818,"23.8","20.3","4.1","FF",0.973,7,55,205.64,1943.534,"","",NA,NA,NA,"0-0",121250,276545,0,1,1,"161221","2011-06-16T20:12:21Z","R","6-1","R","Michael Young singles on a line drive to center fielder Curtis Granderson.  ",NA,"Single",NA,NA,NA,NA,NA,"Michael Young","Mariano Rivera",NA,"2011_06_16"
"401","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",10,"Y",80,"gid_2011_06_16_texmlb_nyamlb_1","2568498","In play, no out",NA,621,"X","161253","2011-06-16T20:12:53Z",136.48,132.11,"110616_161255",92.1,85.4,3.47,1.51,-1.96,7.12,-1.058,3.109,-2.221,50,5.958,3.793,-134.948,-4.085,-3.648,27.311,-18.863,"23.8","8.4","4.3","FF",0.902,11,59,195.325,1483.79,"","",NA,NA,NA,"0-1",121250,276545,0,1,1,"161221","2011-06-16T20:12:21Z","R","6-1","R","Michael Young singles on a line drive to center fielder Curtis Granderson.  ",NA,"Single",NA,NA,NA,NA,NA,"Michael Young","Mariano Rivera",NA,"2011_06_16"
"402","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583109","Called Strike",NA,575,"S","215348","2011-06-21T01:53:48Z",101.29,164.92,"110620_215350",92.3,86.3,3.47,1.61,0.96,5.45,0.004,1.679,-2.477,50,5.845,6.316,-135.051,-7.085,1.803,25.708,-21.896,"23.9","-7.1","5.0","FC",0.894,8,48,170.052,1120.972,"","",502317,NA,NA,"0-0",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"403","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583110","Called Strike",NA,576,"S","215411","2011-06-21T01:54:11Z",133.91,152.83,"110620_215413",90.5,84.3,3.43,1.64,3.63,4.55,-0.987,2.171,-2.733,50,5.808,3.348,-132.632,-5.007,6.519,26.018,-23.92,"23.9","-16.0","5.8","FC",0.893,13,52,141.699,1150.488,"","",502317,NA,NA,"0-1",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"404","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583111","Foul (Runner Going)",NA,577,"S","215439","2011-06-21T01:54:39Z",98.71,136.43,"110620_215441",92.1,85.6,3.52,1.7,2.85,4.54,0.089,2.94,-2.368,50,5.945,5.576,-134.961,-3.601,5.289,27.488,-23.666,"23.8","-14.6","5.5","FC",0.909,2,25,148.134,1076.895,"","",502317,NA,NA,"0-2",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"405","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583112","Ball",NA,578,"B","215509","2011-06-21T01:55:09Z",18.88,140.74,"110620_215511",91.4,85.6,3.44,1.55,3.22,5.92,2.521,2.663,-2.179,50,5.906,11.35,-133.485,-4.592,5.905,24.649,-21.26,"23.9","-19.5","5.2","FC",0.915,12,19,151.586,1348.678,"","",502317,NA,NA,"0-2",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"406","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583113","Ball",NA,582,"B","215528","2011-06-21T01:55:28Z",142.49,142.47,"110620_215530",90.9,85.8,3.33,1.55,5.59,4.52,-1.362,2.671,-2.765,50,5.842,1.791,-133.18,-3.953,10.296,21.692,-23.776,"23.9","-23.4","5.8","FC",0.887,11,20,129.203,1447.363,"","",NA,502317,NA,"1-2",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"407","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583114","Foul",NA,583,"S","215550","2011-06-21T01:55:50Z",63.52,136.43,"110620_215552",91.9,86.1,3.52,1.7,3.52,4.43,1.293,3.056,-2.313,50,5.928,8.413,-134.474,-3.219,6.56,24.638,-23.846,"23.9","-18.1","5.6","FC",0.911,12,24,141.773,1143.737,"","",NA,502317,NA,"2-2",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"408","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",69,"gid_2011_06_20_nyamlb_cinmlb_1","2583115","Swinging Strike",NA,584,"S","215619","2011-06-21T01:56:19Z",76.39,133.84,"110620_215621",92.3,86.5,3.52,1.7,4.02,7.15,0.682,3.027,-2.316,50,5.895,6.653,-135.108,-4.245,7.563,24.24,-18.636,"23.9","-24.1","4.6","FC",0.907,3,47,150.811,1665.165,"Mariano Rivera has his out pitch working today, recording 17 of his 17 strikeouts with it so far.","",NA,502317,NA,"2-2",121250,121074,2,3,3,"215353","2011-06-21T01:53:53Z","R","6-1","R","Edgar Renteria strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Edgar Renteria","Mariano Rivera",NA,"2011_06_20"
"413","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_26/gid_2011_06_26_colmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_06_26_colmlb_nyamlb_1","2605031","Ball",NA,586,"B","173136","2011-06-26T21:31:36Z",96.14,111.39,"110626_173140",93,86.6,3.38,1.55,4.27,7.78,-0.073,3.877,-2.013,50,5.981,3.741,-136.352,-2.5,8.143,26.551,-17.277,"23.9","-26.5","4.2","FC",0.911,11,35,151.339,1806.382,"","",NA,NA,NA,"0-0",121250,455104,2,3,3,"173121","2011-06-26T21:31:21Z","R","6-0","R","Chris Iannetta strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Chris Iannetta","Mariano Rivera",NA,"2011_06_26"
"414","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_26/gid_2011_06_26_colmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_06_26_colmlb_nyamlb_1","2605032","Swinging Strike",NA,587,"S","173151","2011-06-26T21:31:51Z",87.55,144.2,"110626_173155",92.1,86.2,3.37,1.55,1.99,7.61,0.344,2.523,-1.961,50,5.83,5.484,-134.926,-5.537,3.728,25.051,-17.861,"23.9","-13.9","4.2","FC",0.911,6,29,165.403,1590.342,"","",NA,NA,NA,"1-0",121250,455104,2,3,3,"173121","2011-06-26T21:31:21Z","R","6-0","R","Chris Iannetta strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Chris Iannetta","Mariano Rivera",NA,"2011_06_26"
"415","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_26/gid_2011_06_26_colmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_06_26_colmlb_nyamlb_1","2605033","Foul",NA,588,"S","173211","2011-06-26T21:32:11Z",90.13,148.51,"110626_173214",91.6,85.6,3.37,1.55,3.01,6.97,0.361,2.409,-1.97,50,5.868,5.168,-134.194,-5.607,5.554,25.342,-19.226,"23.9","-17.7","4.7","FC",0.904,6,29,156.785,1523.164,"","",NA,NA,NA,"1-1",121250,455104,2,3,3,"173121","2011-06-26T21:31:21Z","R","6-0","R","Chris Iannetta strikes out swinging.  ",NA,"Strikeout",NA,NA,NA,NA,NA,"Chris Iannetta","Mariano Rivera",NA,"2011_06_26"
